id	chr	strand	skip_start	in_start	in_stop	skip_stop	event_class
1	chr1	+	6100706	6101892	6101932	6132815	e
2	chr1	+	7807842	7809832	7809851	7811259	e
3	chr1	+	10057390	10067027	10067239	10067628	e
4	chr1	+	10332365	10333073	10333089	10335486	e
5	chr1	+	10384954	10386170	10386417	10394578	e
6	chr1	+	12395885	12398289	12398362	12401837	e
7	chr1	+	15386799	15390069	15390118	15392126	e
8	chr1	+	15639684	15650966	15651055	15653555	e
9	chr1	+	17958962	17961044	17961057	17961330	e
10	chr1	+	19639384	19644095	19644335	19651127	e
11	chr1	+	23385661	23392554	23392564	23395032	e
12	chr1	+	27648883	27657212	27657295	27658561	e
13	chr1	+	29379825	29385102	29385157	29386934	e
14	chr1	+	29379825	29385324	29385364	29386934	e
15	chr1	+	29611382	29616196	29616224	29618381	e
16	chr1	+	33549729	33560150	33560314	33562308	e
17	chr1	+	36784766	36785044	36785137	36785276	e
18	chr1	+	38478538	38482032	38482092	38483340	e
19	chr1	+	39838269	39844134	39844195	39844875	e
20	chr1	+	44054449	44056644	44056692	44057206	e
21	chr1	+	44064585	44067743	44067768	44069087	e
22	chr1	+	44075170	44078440	44078471	44079289	e
23	chr1	+	44440780	44441473	44441509	44441762	e
24	chr1	+	46733282	46736332	46736457	46738138	e
25	chr1	+	52195674	52205816	52205883	52211208	e
26	chr1	+	53453809	53458931	53459902	53480562	e
27	chr1	+	54360112	54360113	54360220	54370339	e
28	chr1	+	60104048	60106953	60107023	60125891	e
29	chr1	+	62550321	62565992	62566080	62574109	e
30	chr1	+	62614063	62619031	62619153	62626580	e
31	chr1	+	67160188	67161118	67161176	67184977	e
32	chr1	+	67852353	67855713	67855811	67861230	e
33	chr1	+	70144162	70181826	70181901	70225874	e
34	chr1	+	76198608	76198737	76198834	76199213	e
35	chr1	+	82445645	82446480	82446523	82447492	e
36	chr1	+	82451040	82452586	82452713	82452944	e
37	chr1	+	82451040	82452974	82453025	82456075	e
38	chr1	+	84630697	84639013	84639035	84640716	e
39	chr1	+	87190089	87194087	87194124	87200285	e
40	chr1	+	94000466	94001890	94002047	94009664	e
41	chr1	+	94000466	94006600	94006613	94009664	e
42	chr1	+	100316681	100318118	100318259	100327059	e
43	chr1	+	107946268	107950305	107950330	107961202	e
44	chr1	+	107950331	107963707	107963765	107973372	e
45	chr1	+	107963766	107979288	107979421	108023233	e
46	chr1	+	109740277	109740602	109740697	109741195	e
47	chr1	+	109716202	109716311	109716459	109727667	e
48	chr1	+	109779171	109779428	109779492	109779866	e
49	chr1	+	109807251	109807491	109807631	109807813	e
